,Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
428,428,Fashion,Bachelors,56700,94400,39%
429,428,Network Administration,Bachelors,56000,94400,55%
430,428,General & Strategic Management,Bachelors,57300,94400,52%
431,432,Accounting & Business,Bachelors,61000,94300,49%
432,433,Dental Hygiene,Bachelors,83400,94000,80%
433,433,Electronic & Computer Technology,Bachelors,76400,94000,65%
434,435,Journalism & Electronic Media,Bachelors,53100,93900,45%
435,436,Geographic Information Systems (GIS),Bachelors,58000,93800,53%
436,436,Toxicology,Bachelors,54900,93800,-
437,438,Atmospheric Science,Bachelors,57300,93600,56%
438,439,Retailing,Bachelors,57300,93200,35%
439,439,Speech Communication,Bachelors,54500,93200,56%
440,439,Visual Effects & Motion Graphics,Bachelors,55900,93200,38%
441,442,Ancient History,Bachelors,53600,93100,-
442,443,Broadcast & Cinematic Arts,Bachelors,49400,93000,42%
443,443,Sports Management,Bachelors,53000,93000,43%
444,445,Bachelor of Science in Nursing,Bachelors,74300,92900,88%
445,445,Landscape Architecture,Bachelors,60600,92900,66%
446,447,Professional Studies,Bachelors,49900,92600,67%
447,448,Diagnostic Medical Ultrasound,Bachelors,78900,92500,71%
448,448,Entomology,Bachelors,51300,92500,-
449,448,Foreign Languages,Bachelors,56200,92500,55%
450,451,Forestry,Bachelors,54000,92200,68%
451,451,Workforce Education & Development,Bachelors,69100,92200,77%
452,453,Leadership,Bachelors,55600,92100,54%
453,453,Geography,Bachelors,58300,92100,52%
454,455,Global Studies,Bachelors,60400,92000,47%
455,455,Media Arts,Bachelors,52800,92000,33%
456,455,Business Leadership,Bachelors,57600,92000,42%
457,458,English Language,Bachelors,52800,91800,48%
458,459,Agricultural Business,Bachelors,61300,91700,59%
459,460,American Sign Language Interpreting,Bachelors,52700,91600,85%
460,460,Computer Aided Design (CAD),Bachelors,56400,91600,-
461,460,Digital Arts,Bachelors,52000,91600,36%
462,460,Human Resources Management (HRM),Bachelors,56100,91600,55%
463,460,Merchandising Management,Bachelors,55800,91600,48%
464,465,Music Performance,Bachelors,53400,91500,56%
465,466,Liberal Arts,Bachelors,54300,91400,52%
466,466,Public Administration,Bachelors,55000,91400,58%
467,466,Geosciences,Bachelors,57800,91400,62%
468,469,Retail Management,Bachelors,62300,91300,38%
469,470,Radio/Television & Film Production,Bachelors,52800,91200,41%
470,471,Fashion Merchandising,Bachelors,55200,91000,29%
471,471,Mass Communication,Bachelors,52400,91000,44%
472,471,Travel Industry Management,Bachelors,60600,91000,-
473,474,Allied Health,Bachelors,51300,90700,76%
474,474,Electronic Media,Bachelors,52200,90700,38%
475,474,Organizational Leadership & Supervision,Bachelors,56200,90700,51%
476,477,Homeland Security,Bachelors,57100,90500,72%
477,477,Arts Management,Bachelors,46400,90500,47%
478,477,Spanish Language,Bachelors,56300,90500,49%
479,480,3D Animation,Bachelors,58400,90400,43%
480,481,Business Management & Administration,Bachelors,60700,90300,52%
481,481,Marine Biology,Bachelors,49800,90300,63%
482,481,Nuclear Medicine Technology,Bachelors,70300,90300,80%
483,481,Religious Studies,Bachelors,53000,90300,54%
484,485,English Language & Literature,Bachelors,54200,90200,44%
485,486,Information & Communication Technology,Bachelors,55500,90100,54%
486,486,Museum Studies,Bachelors,44200,90100,36%
487,488,Business Technology,Bachelors,64400,90000,49%
488,488,Radiologic Science,Bachelors,66000,90000,81%
489,490,Organizational Leadership,Bachelors,58300,89900,58%
490,490,Animation,Bachelors,52400,89900,35%
491,492,Art History,Bachelors,55300,89800,44%
492,492,Management & Leadership,Bachelors,60900,89800,56%
493,492,Meteorology,Bachelors,54400,89800,53%
494,495,Film Production,Bachelors,51800,89600,38%
495,495,Musicology,Bachelors,49500,89600,-
